repo,full_name,language,description,stars,forks,user,name,type,location,user_total_stars
notie.js,jaredreich/notie.js,JavaScript,"A clean and simple notification plugin (alert/growl style) for javascript, with no dependencies.",4196,232,jaredreich,Jared Reich,User,Canada,4196
awesomplete,LeaVerou/awesomplete,JavaScript,"Ultra lightweight, usable, beautiful autocomplete with zero dependencies.",4172,294,LeaVerou,Lea Verou,User,"Cambridge, MA",6767
layzr.js,callmecavs/layzr.js,JavaScript,"A small, fast, modern, and dependency-free library for lazy loading.",4079,192,callmecavs,Michael Cavalea,User,"New York, NY",5797
plyr,Selz/plyr,JavaScript,A simple HTML5 media player,4017,287,Selz,Selz,Organization,Sydney,4017
react-desktop,gabrielbull/react-desktop,JavaScript,React UI Components for OS X El Capitan and Windows 10,4007,125,gabrielbull,Gabriel Bull,User,"Montréal, Canada",4007
Clusterize.js,NeXTs/Clusterize.js,JavaScript,Tiny vanilla JS plugin to display large data sets easily,3991,172,NeXTs,Denis Lukov,User,"Odessa, Ukraine",5625
uBlock,gorhill/uBlock,JavaScript,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,3878,206,gorhill,Raymond Hill,User,Canada / Québec,3878
plotly.js,plotly/plotly.js,JavaScript,The open source javascript graphing library that powers plotly,3849,226,plotly,Plotly,Organization,Montréal,3849
elevator.js,tholman/elevator.js,JavaScript,"Finally, a 'back to top' button that behaves like a real elevator. ",3851,396,tholman,Tim Holman,User,"NYC, for the most part.",6993
echo-chamber-js,tessalt/echo-chamber-js,JavaScript,Commenting without the comments,3552,94,tessalt,Tessa Thornton,User,Canada,3552
jquery-tips-everyone-should-know,AllThingsSmitty/jquery-tips-everyone-should-know,JavaScript,A collection of simple tips to help up your jQuery game,3512,333,AllThingsSmitty,Matt Smith,User,"Portland, Maine",8838
standard,feross/standard,JavaScript,:star2: JavaScript Standard Style,3477,198,feross,Feross Aboukhadijeh,User,"Mountain View, CA",3796
react-ui-builder,ipselon/react-ui-builder,JavaScript,[DEPRECATED] React UI Builder became Structor http://helmetrex.com,3473,142,ipselon,Alex Pustovalov,User,Ukraine,5899
git-stats,IonicaBizau/git-stats,JavaScript,:four_leaf_clover: Local git statistics including GitHub-like contributions calendars.,3442,68,IonicaBizau,Ionică Bizău,User,Romania,4581
vibrant.js,jariz/vibrant.js,JavaScript,Extract prominent colors from an image. JS port of Android's Palette.,3407,107,jariz,Jari Zwarts,User,"Amsterdam, The Netherlands",4217
nuclide,facebook/nuclide,JavaScript,"An open IDE for web and native mobile development, built on top of Atom ",3331,183,facebook,Facebook,Organization,"Menlo Park, California",61260
react-motion,chenglou/react-motion,JavaScript,A spring that solves your animation problems.,3169,136,chenglou,Cheng Lou,User,"Montreal, Canada",3169
react-demos,ruanyf/react-demos,JavaScript,a collection of simple demos of React.js,3176,1212,ruanyf,Ruan YiFeng,User,"Shanghai, China",4394
butter-desktop,butterproject/butter-desktop,JavaScript,All the free parts of what used to be Popcorn Time,3120,622,butterproject,,Organization,,3120
react-redux-universal-hot-example,erikras/react-redux-universal-hot-example,JavaScript,"A starter boilerplate for a universal webapp using express, react, redux, webpack, and react-transform",3085,626,erikras,Erik Rasmussen,User,Spain,4607
labella.js,twitter/labella.js,JavaScript,Placing labels on a timeline without overlap.,3046,74,twitter,"Twitter, Inc.",Organization,"San Francisco, CA",7027
GitTorrent,cjb/GitTorrent,JavaScript,A decentralization of GitHub using BitTorrent and Bitcoin,3056,133,cjb,Chris Ball,User,"New York City, USA",3056
stf,openstf/stf,JavaScript,Control and manage Android devices from your browser.,3052,260,openstf,STF,Organization,Tokyo,3052
relax,relax/relax,JavaScript,New generation CMS on top of React and Node.js,2978,160,relax,Relax,Organization,,2978
exercises,kolodny/exercises,JavaScript,Some basic javascript coding challenges and interview questions,2848,350,kolodny,Moshe Kolodny,User,New York,2848
vantage,dthree/vantage,JavaScript,"Distributed, realtime CLI for live Node apps.",2832,62,dthree,dc,User,Los Angeles,4088
graphql-js,graphql/graphql-js,JavaScript,A reference implementation of GraphQL for JavaScript,2818,170,graphql,Facebook GraphQL,Organization,"Menlo Park, CA",4721
rollup,rollup/rollup,JavaScript,Next-generation ES6 module bundler,2661,64,rollup,,Organization,,2661
betwixt,kdzwinel/betwixt,JavaScript,:zap: Web Debugging Proxy based on Chrome DevTools Network panel.,2673,52,kdzwinel,Konrad Dzwinel,User,"Kraków, Poland",2673
hound,etsy/hound,JavaScript,Lightning fast code searching made easy,2644,195,etsy,"Etsy, Inc.",Organization,"Brooklyn, NY",3466
slackin,rauchg/slackin,JavaScript,Public Slack organizations made easy,2631,374,rauchg,Guillermo Rauch,User,SF,3866
jsblocks,astoilkov/jsblocks,JavaScript,Better MV-ish Framework,2635,113,astoilkov,Antonio Stoilkov,User,Bulgaria,3385
TheaterJS,Zhouzi/TheaterJS,JavaScript,Typing effect mimicking human behavior.,2580,141,Zhouzi,Gabin Aureche,User,France,2717
shipit,shipitjs/shipit,JavaScript,Universal automation and deployment tool written in JavaScript.,2552,78,shipitjs,Shipit,Organization,"Paris, France",2686
react-toolbox,react-toolbox/react-toolbox,JavaScript,A set of React components implementing Google's Material Design specification with the power of CSS Modules,2523,153,react-toolbox,React Toolbox,Organization,,2523
redux-devtools,gaearon/redux-devtools,JavaScript,"DevTools for Redux with hot reloading, action replay, and customizable UI",2494,165,gaearon,Dan Abramov,User,"London, UK",7814
radium,FormidableLabs/radium,JavaScript,A toolchain for React component styling.,2491,112,FormidableLabs,Formidable,Organization,"Seattle, WA",5716
whatiscode,BloombergMedia/whatiscode,JavaScript,Paul Ford’s “What Is Code?”,2460,187,BloombergMedia,Bloomberg Media,Organization,,2460
HTML-GL,PixelsCommander/HTML-GL,JavaScript,Get as many FPS as you need and amazing effects by rendering HTML/CSS in WebGL,2446,89,PixelsCommander,Denis Radin,User,"Amsterdam, Netherlands",2446
reactjs_koans,arkency/reactjs_koans,JavaScript,Learn basics of React.js making the tests pass,2437,182,arkency,Arkency,Organization,,2549
structor,ipselon/structor,JavaScript,User interface builder for React,2426,78,ipselon,Alex Pustovalov,User,Ukraine,5899
react-boilerplate,mxstbr/react-boilerplate,JavaScript,":fire: Quick setup for performance orientated, offline-first React.js applications featuring Redux, hot-reloading, PostCSS, react-router, ServiceWorker, AppCache, FontFaceObserver and Mocha.",2260,72,mxstbr,Max Stoiber,User,"Vienna, Austria",2260
rodeo,yhat/rodeo,JavaScript,A data science IDE for Python,2356,210,yhat,yhat,Organization,"New York, NY",3165
enzyme,airbnb/enzyme,JavaScript,JavaScript Testing utilities for React,2336,53,airbnb,Airbnb,Organization,San Francisco,8936
ttystudio,chjj/ttystudio,JavaScript,A terminal-to-gif recorder minus the headaches.,2325,53,chjj,Christopher Jeffrey (JJ),User,San Francisco,2325
react-transform-boilerplate,gaearon/react-transform-boilerplate,JavaScript,"A new Webpack boilerplate with hot reloading React components, and error handling on module and component level.",2229,239,gaearon,Dan Abramov,User,"London, UK",7814
lost,peterramsing/lost,JavaScript,"PostCSS fractional grid system built with calc() by the guy who built Jeet. Supports masonry, vertical, and waffle grids.",2180,104,peterramsing,Peter Ramsing,User,"Portland, Oregon",2180
tota11y,Khan/tota11y,JavaScript,an accessibility (a11y) visualization toolkit,2177,72,Khan,Khan Academy,Organization,"Mountain View, CA",2177
toxy,h2non/toxy,JavaScript,Hackable HTTP proxy to simulate server failure scenarios and network conditions,2171,60,h2non,Tomás Aparicio,User,"Dublin, Ireland",3103
Windows-universal-samples,Microsoft/Windows-universal-samples,JavaScript,"This repo contains the samples that demonstrate the API usage patterns for the Universal Windows Platform (UWP) in the Windows Software Development Kit (SDK) for Windows 10. These code samples are designed to run on both desktop, mobile and future devices that support the UWP.",2156,1673,Microsoft,Microsoft,Organization,"Redmond, WA",23867
react-native-nw-react-calculator,benoitvallon/react-native-nw-react-calculator,JavaScript,"Mobile, desktop and website Apps with the same code",2124,136,benoitvallon,Benoit VALLON,User,"New York, NY",2124
friends,moose-team/friends,JavaScript,:tv: P2P chat powered by the web.,2085,191,moose-team,MOOSE Team,Organization,A Distributed Hash Table Near You,2085
node-convergence-archive,nodejs/node-convergence-archive,JavaScript,Archive for node/io.js convergence work pre-3.0.0,2074,133,nodejs,,Organization,,3323
spectacle,FormidableLabs/spectacle,JavaScript,ReactJS based Presentation Library,2054,138,FormidableLabs,Formidable,Organization,"Seattle, WA",5716
wopr,yaronn/wopr,JavaScript,"A simple markup language for creating rich terminal reports, presentations and infographics",2043,41,yaronn,Yaron Naveh,User,Israel,9234
Split.js,nathancahill/Split.js,JavaScript,"Lightweight, unopinionated utility for adjustable split views",2009,79,nathancahill,Nathan Cahill,User,,2009
Typeset,davidmerfield/Typeset,JavaScript,An html pre-proces­sor for web ty­pog­ra­phy,2038,43,davidmerfield,David Merfield,User,San Francisco,2038
flux-comparison,voronianski/flux-comparison,JavaScript,Practical comparison of different Flux solutions,2017,131,voronianski,Dmitri Voronianski,User,"Kiev, Ukraine",3104
botkit,howdyai/botkit,JavaScript,Botkit is a toolkit for making bot applications,1987,100,howdyai,Howdy,Organization,"Austin, TX",1987
elemental,elementalui/elemental,JavaScript,A flexible and beautiful UI framework for React.js,1998,92,elementalui,Elemental UI,Organization,,1998
Ionic-Material,zachsoft/Ionic-Material,JavaScript,Seamless Material Design theme for Ionic,1995,537,zachsoft,Zach Fitzgerald,User,"Salt Lake City, UT",1995
doppler,DanielRapp/doppler,JavaScript,:wave: Motion detection using the doppler effect,1981,145,DanielRapp,Daniel Rapp,User,"Linköping, Sweden",1981
menubar,maxogden/menubar,JavaScript,➖ high level way to create menubar desktop applications with electron (formerly atom-shell),1966,95,maxogden,=^._.^=,User,,4885
node-osmosis,rc0x03/node-osmosis,JavaScript,Web scraper for NodeJS,1965,65,rc0x03,Robbie Chipka,User,"Wooster, Ohio",1965
gatsby,gatsbyjs/gatsby,JavaScript,Transform plain text into dynamic blogs and websites using React.js,1961,70,gatsbyjs,,Organization,,1961
ZhiHuDaily-React-Native,race604/ZhiHuDaily-React-Native,JavaScript,A Zhihu Daily(http://daily.zhihu.com/) App client implemented using React Native (Android and iOS).,1953,407,race604,,User,"Beijing, China",4036
deck-of-cards,pakastin/deck-of-cards,JavaScript,HTML5 Deck of Cards,1852,209,pakastin,Juha Lindstedt,User,Finland,2132
fixed-data-table,facebook/fixed-data-table,JavaScript,A React table component designed to allow presenting thousands of rows of data.,1845,229,facebook,Facebook,Organization,"Menlo Park, California",61260
memory-stats.js,paulirish/memory-stats.js,JavaScript,minimal monitor for JS Heap Size via performance.memory,1731,87,paulirish,Paul Irish,User,Palo Alto,2560
SUI-Mobile,sdc-alibaba/SUI-Mobile,JavaScript,SUI Mobile (MSUI)是由阿里巴巴国际UED前端出品的移动端UI库，轻量精美,1744,380,sdc-alibaba,Alibaba-IntlUED-FD,Organization,,1744
essential-react,pheuter/essential-react,JavaScript,A minimal skeleton for building testable React apps using ES6,1747,84,pheuter,Mark Fayngersh,User,New York,1747
jump.js,callmecavs/jump.js,JavaScript,"A small, modern, dependency-free smooth scrolling library.",1718,48,callmecavs,Michael Cavalea,User,"New York, NY",5797
ife,baidu-ife/ife,JavaScript,Baidu Institute of Front－End Technology,1714,1954,baidu-ife,,Organization,,1714
booking-js,timekit-io/booking-js,JavaScript,:date: Make a beautiful embeddable booking widget in minutes,1723,73,timekit-io,Timekit,Organization,,1723
incremental-dom,google/incremental-dom,JavaScript,,1723,58,google,Google,Organization,,70104
ContentTools,GetmeUK/ContentTools,JavaScript,A JS library for building WYSIWYG editors for HTML content.,1725,116,GetmeUK,getme,Organization,"Worcester, UK",1725
animateplus,bendc/animateplus,JavaScript,CSS and SVG animation library,1708,84,bendc,Benjamin De Cock,User,Belgium,7853
mui,muicss/mui,JavaScript,Lightweight CSS framework,1695,159,muicss,,Organization,"New York, NY",1981
react-color,casesandberg/react-color,JavaScript,":art: Color Pickers from Sketch, Photoshop, Chrome & more",1690,77,casesandberg,case,User,,2732
react-redux,rackt/react-redux,JavaScript,Official React bindings for Redux,1679,194,rackt,,Organization,,17451
mention-bot,facebook/mention-bot,JavaScript,Automatically mention potential reviewers on pull requests.,1680,76,facebook,Facebook,Organization,"Menlo Park, California",61260
js-cookie,js-cookie/js-cookie,JavaScript,"A simple, lightweight JavaScript API for handling browser cookies",1661,253,js-cookie,,Organization,The internet,1661
react-redux-starter-kit,davezuko/react-redux-starter-kit,JavaScript,"Get started with React, Redux, and React-Router!",1643,278,davezuko,David Zukowski,User,Michigan,1643
prosemirror,ProseMirror/prosemirror,JavaScript,The ProseMirror WYSIWYM editor,1648,86,ProseMirror,,Organization,,1648
fuzzysearch,bevacqua/fuzzysearch,JavaScript,:crystal_ball: Tiny and blazing-fast fuzzy search in JavaScript,1647,37,bevacqua,Nicolás Bevacqua,User,https://twitter.com/nzgb,20409
x-ray,lapwinglabs/x-ray,JavaScript,The next web scraper. See through the <html> noise.,1637,112,lapwinglabs,Lapwing Labs,Organization,San Francisco,2109
hack.chat,AndrewBelt/hack.chat,JavaScript,"a minimal, distraction-free chat application",1636,225,AndrewBelt,Andrew Belt,User,University of Tennessee,1910
Jets.js,NeXTs/Jets.js,JavaScript,Native CSS search engine,1634,57,NeXTs,Denis Lukov,User,"Odessa, Ukraine",5625
airflow,airbnb/airflow,JavaScript,"Airflow is a system to programmatically author, schedule and monitor data pipelines.",1611,297,airbnb,Airbnb,Organization,San Francisco,8936
vector,Netflix/vector,JavaScript,Vector is an on-host performance monitoring framework which exposes hand picked high resolution metrics to every engineer’s browser.,1603,90,Netflix,"Netflix, Inc.",Organization,"Los Gatos, California",8686
img2css,javierbyte/img2css,JavaScript,Convert any image to pure CSS.,1583,112,javierbyte,Javier Bórquez,User,"Guadalajara, MX",2047
iron-node,s-a/iron-node,JavaScript,Debug Node.js code with Chrome Developer Tools.,1534,35,s-a,Stephan Ahlf,User,Hamburg Germany,1534
HackerNews-React-Native,iSimar/HackerNews-React-Native,JavaScript,Hacker News iOS and Android App - Made with React Native.,1537,160,iSimar,Simar,User,"Toronto, ON, Canada",1646
webglstudio.js,jagenjo/webglstudio.js,JavaScript,"A full 3D graphics editor in the browser, with scene editor, coding pad, graph editor, virtual file system, and many features more.",1529,131,jagenjo,Javi Agenjo,User,Barcelona,1529
engine,Famous/engine,JavaScript,,1516,221,Famous,Famo.us,Organization,,1873
iconate,bitshadow/iconate,JavaScript,Transform your icons with trendy animations.,1512,160,bitshadow,Jignesh Kakadiya,User,"Bangalore, India",1512
documentation,documentationjs/documentation,JavaScript,"beautiful, flexible, powerful js docs",1499,47,documentationjs,,Organization,Worldwide,1499
react-isomorphic-starterkit,RickWong/react-isomorphic-starterkit,JavaScript,Create an isomorphic React app in less than 5 minutes!,1494,125,RickWong,Rick,User,"Amsterdam, NL",2339
Fluid-for-Sketch,matt-curtis/Fluid-for-Sketch,JavaScript,(Sketch Plugin) Sketch-flavored Auto Layout-like Constraints,1487,34,matt-curtis,Matt Curtis,User,,1487
t3js,box/t3js,JavaScript,A minimal component-based JavaScript framework,1475,112,box,Box,Organization,"Los Altos, CA",1943
react-native-desktop,ptmt/react-native-desktop,JavaScript,React Native for OS X ,1447,46,ptmt,Dima,User,Novosibirsk,1447
ioredis,luin/ioredis,JavaScript,"A robust, performance-focused and full-featured Redis client for Node and io.js.",1427,93,luin,Zihua Li,User,"Beijing, China",1427
justice,okor/justice,JavaScript,Embeddable script for displaying web page performance metrics.,1417,47,okor,Jason Ormand,User,"Astoria, NY",1417
Sketch-Flex-Layout,hrescak/Sketch-Flex-Layout,JavaScript,Plugin for Sketch allowing for CSS Flexbox layouts using stylesheets and prototypes,1410,49,hrescak,Matej Hrescak,User,"Palo Alto, Caliornia",1410
bliss,LeaVerou/bliss,JavaScript,Blissful JavaScript,1407,71,LeaVerou,Lea Verou,User,"Cambridge, MA",6767
fly,bucaran/fly,JavaScript,New Generation Build System,1401,45,bucaran,Jorge Bucaran,User,"Tokyo, Japan",2495
atom-pair,pusher/atom-pair,JavaScript,An Atom package that allows for epic pair programming,1395,24,pusher,Pusher,Organization,"London, UK",1395
flux-challenge,staltz/flux-challenge,JavaScript,A frontend challenge to test UI architectures and solutions,1384,172,staltz,André Staltz,User,"Helsinki, Finland",1504
MProgress.js,lightningtgc/MProgress.js,JavaScript,Material Progress —Google Material Design Progress linear bar. By using CSS3 and vanilla JavaScript. ,1379,93,lightningtgc,gctang,User,China,1944
cta.js,chinchang/cta.js,JavaScript,Animate your 'action-to-effect' paths,1374,128,chinchang,Kushagra Gour,User,"Delhi, India",1981
redux-router,acdlite/redux-router,JavaScript,Redux bindings for React Router – keep your router state inside your Redux store,1369,133,acdlite,Andrew Clark,User,"Redwood City, CA",4345
speed-test,sindresorhus/speed-test,JavaScript,Test your internet connection speed and ping using speedtest.net from the CLI,1369,43,sindresorhus,Sindre Sorhus,User,✈,11371
Mancy,princejwesley/Mancy,JavaScript, >_ Electron based NodeJS REPL :see_no_evil:,1330,71,princejwesley,Prince John Wesley,User,"Chennai, India",1330
react-refetch,heroku/react-refetch,JavaScript,"A simple, declarative, and composable way to fetch data for React components",1319,31,heroku,Heroku,Organization,"San Francisco, CA",1458
warriorjs,olistic/warriorjs,JavaScript,Game written in JavaScript for learning JavaScript and artificial intelligence.,1322,87,olistic,Matías Olivera,User,"Montevideo, Uruguay",1322
slack-poker-bot,CharlieHess/slack-poker-bot,JavaScript,A bot that deals Texas Hold'em games in Slack,1315,102,CharlieHess,Charlie Hess,User,"San Francisco, CA",1315
redux-simple-router,rackt/redux-simple-router,JavaScript,Ruthlessly simple bindings to keep react-router and redux in sync,1273,75,rackt,,Organization,,17451
unindexed,mroth/unindexed,JavaScript,:mag_right::grey_question: website that irrevocably deletes itself once indexed,1301,108,mroth,Matthew Rothenberg,User,"Brooklyn, NY",1301
lebab,mohebifar/lebab,JavaScript,Turn your ES5 code into readable ES6. It does the opposite of what Babel does.,1272,37,mohebifar,Mohamad Mohebifar,User,"Tehran, Iran",1272
reselect,rackt/reselect,JavaScript,Selector library for Redux,1257,32,rackt,,Organization,,17451
styleguide,hugeinc/styleguide,JavaScript,A tool to make creating and maintaining style guides easy.,1270,97,hugeinc,Huge,Organization,Brooklyn / Los Angeles / London / Rio De Janeiro / Portland,1270
babel-sublime,babel/babel-sublime,JavaScript,Syntax definitions for ES6 JavaScript with React JSX extensions.,1265,48,babel,Babel,Organization,,2097
frontend-boilerplate,tj/frontend-boilerplate,JavaScript,webpack-react-redux-babel-autoprefixer-hmr-postcss-css-modules-rucksack-boilerplate,942,50,tj,TJ Holowaychuk,User,"Victoria, BC, Canada",1369
redux-tutorial,happypoulp/redux-tutorial,JavaScript,Learn how to use redux step by step,1253,145,happypoulp,François Bonnefont,User,"Paris, France",1253
trine,jussi-kalliokoski/trine,JavaScript,A utility library for modern JavaScript.,1239,38,jussi-kalliokoski,Jussi Kalliokoski,User,Helsinki,1239
fontmin,ecomfe/fontmin,JavaScript,Minify font seamlessly,1237,72,ecomfe,Baidu EFE team,Organization,Beijing & Shanghai & Shenzhen,1936
material-start,angular/material-start,JavaScript,Quick Starter Repository for Angular Material,1221,852,angular,Angular,Organization,,2141
react-css-modules,gajus/react-css-modules,JavaScript,Seamless mapping of class names to CSS modules inside of React components.,1222,39,gajus,Gajus Kuizinas,User,London,1385
woofmark,bevacqua/woofmark,JavaScript,":dog2: Barking up the DOM tree. A modular, progressive, and beautiful Markdown and HTML editor",1224,38,bevacqua,Nicolás Bevacqua,User,https://twitter.com/nzgb,20409
texgen.js,mrdoob/texgen.js,JavaScript,Procedural Texture Generator,1222,55,mrdoob,Mr.doob,User,"London, England",1222
react-map-gl,uber/react-map-gl,JavaScript,,1211,46,uber,Uber,Organization,,2875
angular2-webpack-starter,AngularClass/angular2-webpack-starter,JavaScript,"An Angular 2 Webpack Starter kit featuring Angular 2 (Router, Http, Forms, Services, Tests, E2E), Karma, Protractor, Jasmine, Istanbul, TypeScript, Typings, and Webpack by @AngularClass",1176,421,AngularClass,AngularClass,Organization,"San Francisco, CA",2510
egg.js,mikeflynn/egg.js,JavaScript,A simple javascript library to add easter eggs to web pages.,1194,52,mikeflynn,Mike Flynn,User,"San Francisco, CA",1194
dreamjs,adleroliveira/dreamjs,JavaScript,A lightweight json data generator.,1166,50,adleroliveira,Adler Oliveira,User,Chile,1166
d3-shape,d3/d3-shape,JavaScript,"Graphical primitives for visualization, such as lines and areas.",1161,32,d3,D3,Organization,,1859
belle,nikgraf/belle,JavaScript,Configurable React Components with great UX,1159,32,nikgraf,Nik Graf,User,Vienna,1159
electron-react-boilerplate,chentsulin/electron-react-boilerplate,JavaScript,Live editing development on desktop app,1142,116,chentsulin,C. T. Lin,User,"Taipei, Taiwan",1770
drool,samccone/drool,JavaScript,⛲️    automated memory leak detection and analysis,1136,27,samccone,Sam Saccone,User,∆∆∆,1136
rucksack,simplaio/rucksack,JavaScript,"A little bag of CSS superpowers, built on PostCSS",1085,29,simplaio,Simpla,Organization,"Melbourne, Australia",1085
vorpal,dthree/vorpal,JavaScript,Node's framework for interactive CLI apps.,1108,35,dthree,dc,User,Los Angeles,4088
redux-form,erikras/redux-form,JavaScript,A Higher Order Component using react-redux to keep form state in a Redux store,1098,98,erikras,Erik Rasmussen,User,Spain,4607
amok,caspervonb/amok,JavaScript,Develop your web application without reloading,1107,35,caspervonb,Casper Beyer,User,,1107
filepizza,kern/filepizza,JavaScript,:pizza: Peer-to-peer file transfers in your browser,1103,75,kern,Alex Kern,User,"Berkeley, CA",1103
beep.js,stewdio/beep.js,JavaScript,Beep is a JavaScript toolkit for building browser-based synthesizers.,1097,72,stewdio,Stewart,User,Brooklyn NY,1097
blog,jlongster/blog,JavaScript,All the sources for my react-powered blog,1093,70,jlongster,James Long,User,"Richmond, VA",1251
antimoderate,whackashoe/antimoderate,JavaScript,The progressive image loading library for great good!,1085,71,whackashoe,,User,Eau Claire ,1085
agar.io-clone,huytd/agar.io-clone,JavaScript,Agar.io clone written with Socket.IO and HTML5 canvas,1086,395,huytd,Henry Tr.,User,"San Jose, CA",1520
react-webpack-cookbook,christianalfoni/react-webpack-cookbook,JavaScript,A cookbook for using webpack with React JS,1082,125,christianalfoni,Christian Alfoni,User,Norway,1563
chromecasts,mafintosh/chromecasts,JavaScript,Query your local network for Chromecasts and have them play media,1077,44,mafintosh,Mathias Buus,User,"Copenhagen, Denmark",3455
flexibility,10up/flexibility,JavaScript,Use flexbox while supporting older Internet Explorers,1042,43,10up,10up,Organization,United States,1042
Facebook-Messenger-Desktop,Aluxian/Facebook-Messenger-Desktop,JavaScript,"Bring messenger.com to your OS X, Windows or Linux desktop.",1057,138,Aluxian,Alexandru Rosianu,User,Europe,2170
guesstimate-app,getguesstimate/guesstimate-app,JavaScript,Create Fermi Estimates and Perform Monte Carlo Estimates,382,22,getguesstimate,,Organization,,382
updtr,peerigon/updtr,JavaScript,Update outdated npm modules with zero pain™,1013,11,peerigon,peerigon,Organization,"Augsburg, Germany ",1013
DICSS,letsgetrandy/DICSS,JavaScript,Directly injected CSS,1023,82,letsgetrandy,Randy Hunt,User,Chicago,1023
Sketch-Constraints,bouchenoiremarc/Sketch-Constraints,JavaScript,A plugin that integrates constraints in Sketch to lay out layers.,1019,31,bouchenoiremarc,Marc Bouchenoire,User,France,1019
atvImg,drewwilson/atvImg,JavaScript,,1014,67,drewwilson,Drew Wilson,User,,1014
WhatsApp-Desktop,Aluxian/WhatsApp-Desktop,JavaScript,"Use WhatsApp on your OS X, Windows or Linux desktop.",1009,151,Aluxian,Alexandru Rosianu,User,Europe,2170
electron-packager,maxogden/electron-packager,JavaScript,"Package and distribute your Electron app in OS executables (.app, .exe etc) via JS or CLI. Maintained by the community",1005,92,maxogden,=^._.^=,User,,4885
datedropper,felicegattuso/datedropper,JavaScript,datedropper is a jQuery plugin that provides a quick and easy way to manage dates for input fields.,998,124,felicegattuso,Felice Gattuso,User,"Bologna, Italy",998
velocity-react,twitter-fabric/velocity-react,JavaScript,React components for Velocity.js,994,48,twitter-fabric,Twitter Fabric,Organization,Boston & San Francisco,1118
aframe,aframevr/aframe,JavaScript,Building Blocks for the VR Web,977,89,aframevr,A-Frame,Organization,,977
editor.md,pandao/editor.md,JavaScript,The open source embeddable online markdown editor (component).,982,240,pandao,pandao,User,"Xiamen, China",982
shireframe,tsx/shireframe,JavaScript,"Declarative wireframes for programmers, based on web technologies. Pull requests are welcome!",981,40,tsx,Vyacheslav Tverskoy,User,,981
